City Designated Individual Historic Sites,,,,,,,,,,,,,
_id,objectid,globalid,historic_i,lotblock,street,address,shape_leng_1,neighborhood,alternativ,name,provided_a,shape_area,shape_length
12838,1,f9546336-d207-43ae-a126-290e4600f356,Perry High School/Traditional Academy,0115D00319000000,Perrysville Ave,3875 Perrysville Ave,618.51608032,Perry North, ,Perry High School/Traditional Academy, ,240705.114562988,2364.53851158891
12839,2,4b488275-8971-47e7-b17d-842c4becf1c4,Lowen-Shaffer House,0016G00082000000,Lowenhill St,311 Lowenhill St,1449.8720471,Beechview, ,Lowen-Shaffer House, ,78531.4058227539,1449.87238112496
12840,4,f7e6286b-dc4c-4314-b41e-75f0921e3634,Willow Cottage (Howes-Child Gatehouse) Chatham Co*,0085B00038000000,Fifth Ave,5918 Fifth Ave,610.91084484,Shadyside, ,Willow Cottage (Howes-Child Gatehouse) Chatham Co*, ,21545.6123046875,611.747330084899
12841,5,57c72334-fec7-47bc-9cda-8bf4f405154a,Fairhaven Church,0138B00291000003,Saw Mill Run Blvd,2415 Saw Mill Run Blvd,609.05239951,Overbrook, ,Fairhaven Church, ,20479.2484741211,609.053714905765
12842,6,d2b6c6f4-41b2-461e-a387-9cdd1f311eb8,Arsenal Junior High School (Arsenal Middle School),0049E00245000000,39th-40th,215 39th - 220 40th,1709.22525719,Lower Lawrenceville, ,Arsenal Junior High School (Arsenal Middle School),3901 Butler St,174691.006896973,1709.22529202255
12843,7,50c47551-13ce-433f-b323-a907f79c3cf1,Colfax Elementary School,0128A00056000001,Beechwood Blvd,2332 Beechwood Blvd,1589.90291764,Squirrel Hill, ,Colfax Elementary School, ,130808.800964355,1589.9028424611
12844,8,831f55da-b9fd-4e66-8dcb-6237412c1b68,August Wilson House,0009S00036000000,Bedford Ave,1727 Bedford Ave,289.76786034,Crawford-Roberts, ,August Wilson House, ,5480.93304443359,330.975068221097
12845,9,911213a3-0d27-49bd-9dc2-00b554fae3d8,Mackintosh Hemphill Buildings,0003G00214000000,Bingham St,901 Bingham St,223.38361331,South Side Flats, ,Mackintosh Hemphill Buildings, ,10933.5928955078,500.427687045308
12846,10,d7ae69f7-79e0-4eff-8b78-cc111df524ff,Turney House,0049B00079000000,43rd St,160 43rd St,196.11482859,Lower Lawrenceville, ,Turney House, ,1856.03967285156,189.398625601841
12847,11,ed1295ce-a7ce-4ace-977f-77d4eee6dc63,Byers Hall,0008E00248000000,Ridge Ave,450 Ross St,824.31706329,Central Business District, ,Byers Hall, ,35051.8488769531,824.317195730611
12848,12,88a62774-43a1-4ffb-b5f6-744d148a07b3,Moreland-Hoffstot House,0052G00106000000,5th Ave,5057 5th Ave,713.06483167,Shadyside, ,Moreland-Hoffstot House, ,28593.9505004883,713.065395020233
12849,13,7c4fa44e-4946-45ff-bb95-4c2660c958cd,Greenfield Elementary School,0054K00230000000,Alger St,1 Alger St,2188.34998369,Greenfield, ,Greenfield Elementary School, ,366000.605957031,3387.99895629753
12850,14,bc306269-197e-4870-9d83-9e6f8d8b1d7d,Calvary Methodist Church,0007D00070000000,Allegheny Ave,920 Allegheny Ave,729.94829879,East Allegheny, ,Calvary Methodist Church, ,31186.9524536133,729.94824985601
