objectid,globalid,historic_i,lotblock,street,address,shape_leng_1,Neighborhood,alternativ,name,provided_a,shape_area,shape_length
120,71de1742-eb1e-45d2-8abb-028938e3379e,Temp - Connelly Skill Learning Center,0009R00194000000,Bedford Ave,1435 Bedford Ave,,Crawford-Roberts,,Temp - Connelly Skill Learning Center,,154417.8775,1703.851517
121,75692e88-e0c5-4eb0-9cdf-7ff723cf2a25,Temp - Taylor Allderdice High School,0087H00250000000,Shady Ave,2409 Shady Ave,,Squirrel Hill,,Temp - Taylor Allderdice High School,,331562.0049,2550.406539
122,39edbb3f-1699-4fb4-8c3b-62c9f244de71,Temp - knoxville Middle School,0014P00060000000,Charles St,324 Charles St,,Knoxville,,Temp - knoxville Middle School,,114750.3887,1493.219135
123,c19a9d27-cc15-47f0-b8b3-49015196a64a,Temp - Weil Elementary School,0010R00175000001,Centre Ave,2250 Centre Ave,,Middle Hill,,Temp - Weil Elementary School,,74218.88019,1149.362326
124,3bd1f099-f055-44a4-a656-4409205ba02b,Temp - Letsche Education Center,0009R00167000000,Cliff St,1530 Cliff St,,Crawford-Roberts,,Temp - Letsche Education Center,,30185.64655,759.8769735
125,0693c31e-f395-4c4e-932a-2f4af96f55b0,Temp - 540 Larimer Ave,0124J00322000000,Larimer Ave,540 Larimer Ave,,Larimer,,Temp -  540 Larimer Ave,,54172.83051,1055.853599
126,968de0be-3063-4bc7-babb-861ae6fe82a2,Temp - Linden Elementary School,0085M00362000000,Linden St,725 S Linden St,,Point Breeze,,Temp - Linden Elementary School,,116433.2936,1515.833978
127,e671d3d8-62fa-416d-96db-4acbd46401c3,The Shrine of the Blessed Mother,0029C00017000000,Wakefield St,6 Wakefield St,752.4347728,South Oakland,,The Shrine of the Blessed Mother,,14989.20734,752.4342557
128,7013fa5c-425e-4758-ba00-d1be4a59eb6f,Heathside Cottage,0023D00056000000,Catoma St,416 Catoma St,,Fineview,,Heathside Cottage,,4311.426025,286.9446207
129,9c8d7e0e-9e35-4853-ae48-707bac7c4acb,Gallagher-Kieffer House,0027H00115000000,N. Ditheridge Street,234 N. Ditheridge Street,,North Oakland,,Gallagher-Kieffer House,,9512.39093,473.0203684
130,ae49ed5a-cdbf-4bbf-b480-d4a94353aa6e,VA Facility Building 10 & 13 - Chapel & Laboratory,0172K00170000000,Highland Drive,7180 Highland Drive,,Highland Park,,VA Facility Building 10 & 13 - Chapel & Laboratory,,7020291.028,28714.93162
131,a2082e33-175c-47b7-87f8-8bea7386f2e5,Hanauer-Rosenberg House,0008D00149000000,Lockhart Street,417 Lockhart Street,,Allegheny Center,,Hanauer-Rosenberg House,,1403.467834,191.9755264
132,b7011cd7-9932-459f-8a16-cb543ee00019,John P. Robin Civic Building,0002J00164000002,Ross Street,200 Ross Street,,Central Business District,,John P. Robin Civic Building,,14806.42694,530.0015759
133,aaf57ce8-1cbe-49f6-8dfb-51d1ebf5369e,Saint Michael's Roman Catholic Church and Rectory*,0003S0021800C900,15th St,1 15th St,111.5050522,Greenfield,,Saint Michael's Roman Catholic Church and Rectory,,41946.1106,876.4743701
134,ab47435b-f934-4d78-bb18-5fad37268ca3,Spring Hill Elementary School,0047L00300000000,Damas Street,1351 Damas Street,,Spring Hill - City View,,Spring Hill Elementary School,,71888.90302,1120.06232
135,f8ca1ad2-9847-4d4d-b42b-7b2d1ed3f271,Herron Hill Pumping Station,0027D00035000000,Centre Avenue,4501 Centre Avenue,,North Oakland,,Herron Hill Pumping Station,,55287.07159,1045.615177
136,76b12a56-e059-4078-921e-ceeff1fc78b1,Hunt Armory,0084L00283000000,Emerson St,324 Emerson St,,Shadyside,,Hunt Armory,,78023.92957,1247.267807
137,8e41a7c3-0b82-4353-a184-5c57ee421538,Tito House,0011E00093000000,5th Ave,1817 5th Ave,,Crawford-Roberts,,Tito House,,8667.79657,474.755585
138,771d2461-feb8-4afb-b26c-281c51dc9c7d,Rodef Shalom,0052K00027000002,Fifth Ave,4905 Fifth Avenue,,North Oakland,,Rodef Shalom,4905 Fifth Avenue,168891.2748,1661.010529
538,0409895c-8a08-4a0f-b14e-deff0d6e4fba,412 Blvd of the Allies,0001M00150000000,Blvd Of The Allies,412 Blvd of the Allies,,Central Business District,,412 Blvd of the Allies,412 Blvd of the Allies,25350.177,643.4416424
938,68bc19a8-9cb9-42e7-9b7b-6a331253b043,Ella and Emil Keller House,0126C00122000000,N Murtland St,201 N Murtland St,,Point Breeze,,Ella and Emil Keller House,,21688.5733,593.054033
939,88f5e83b-00bf-4895-9719-2fc032858ffb,Allegheny Turn Halle,0024P00190000000,S Canal St,855 S Canal St,,East Allegheny,,Allegheny Turn Halle,,4894.365662,301.5158053
940,85b48d62-5dfd-4942-a075-ddc79a5c7c8d,B'Nai Israel Synagogue,0083J00210000000,N Negley,327 N Negley and 333 N Negley,,Garfield,,B'Nai Israel Synagogue,,139549.1565,1648.232288
941,4d493042-d7e5-43db-93b6-c0354041a3f1,City-County Building,0002E00284000000,Grant St,414 Grant St,,Central Business District,,City-County Building,,65626.10663,1046.273595
943,ce69a523-9961-43b5-b628-22e698eec055,Sal's Barber Shop,0097C00280000000,Brookline Boulevard,712 Brookline Boulevard,,Brookline,,Sal's Barber Shop,,3425.084076,290.545056
944,39ecf1ee-67b2-46df-b15a-c48ab7c54cea,Veterans Memorial Park,0097H00007000000,Brookline Boulevard,1020 Brookline Boulevard,,Brookline,,Veterans Memorial Park,,1926.669708,235.7844741
947,cdaa51ff-eccd-4462-86e7-7a0d35eb87c9,Pittsburgh Stained Glass Studios,0019M00019000000,Warden Street,160 Warden Street,,West End,,Pittsburgh Stained Glass Studios,,9828.272308,396.9699588
949,201975ef-2c76-4167-97fe-03d66ee60dc0,The Troy Hill Fire House,0048N00010000000,Ley Street,1800 Ley Street,,Spring Hill - City View,,The Troy Hill Fire House,,2248.647156,231.3761871
950,063884db-a48a-4891-83c1-0b743e68042b,Donny's Place,0026E00197000000,Herron Ave,1226 Herron Ave,,Polish Hill,,Donny's Place,,2902.920288,321.9528106
