objectid,globalid,historic_i,lotblock,street,address,shape_leng_1,Neighborhood,alternativ,name,provided_a,shape_area,shape_length
65,1e72afdb-20e4-4c43-a4f9-e6f999bafa17,Baywood  (The King Estate),0082F00300000000,Elgin St,5501 Elgin St,1248.289626,Highland Park,,Baywood  (The King Estate),,79371.90356,1248.271172
66,b73f7147-ecda-4cc4-88ea-f4cfe7a9d17d,Synder House,0008A00184000000,Ridge Ave,850 Ridge Ave,448.4936693,Allegheny West,,Synder House,850-854 Ridge Ave,12236.86652,448.4947761
67,a7464242-f14b-4345-9965-edbd0a8a4d92,Monongahela Incline/Upper Street Station,0004C00063000000,,,803.7487301,Mount Washington,,Monongahela Incline/Upper Street Station,,63735.90173,1724.132027
68,d9871794-2b5a-4474-b31b-93275c56d269,Aberlie House,0023L00258000000,E North Ave,122 E North Ave,343.4972255,Allegheny Center,,Aberlie House,,6760.095825,343.4975077
69,d6f56550-e8a5-42a6-bced-87454cf2a480,"Carnegie Library or Pittsburgh, Mount Washington *",0001P00044000000,Grandview Ave,315 Grandview Ave,513.0617254,South Shore,,"Carnegie Library or Pittsburgh, Mount Washington Branch)",,14922.65366,508.8667088
70,e901995f-75fe-4ef1-bb04-a2a8cf8d9be2,Walton House,0080P00068000000,Plummer St,4412 Plummer St,113.2236873,Central Lawrenceville,,Walton House,4412-4414 Plummer St,772.3321533,113.2241516
71,24835acc-4f4e-44bf-9f9b-413b005fd0f9,Allegheny County Jail (next to courthouse),0002F00259000000,Ross St,440 Ross St,1027.837583,Central Business District,,Allegheny County Jail (next to courthouse),450 Ross St,69809.38763,1027.837678
72,8a7dcee6-8ba6-4303-9b81-8205e4797a20,Mellon National Bank Building,0002E00030000000,Smithfield St,500 Smithfield St,721.1705588,Central Business District,,Mellon National Bank Building,,29230.89447,721.1706819
73,99f8d1e0-0c10-4f49-90e4-f2f69d9bcd40,"Carnegie Library of Pittsburgh, West End Branch",0019H00284000000,Wabash St,47 Wabash St,1959.998818,Central Business District,,"Carnegie Library of Pittsburgh, West End Branch",,127605.1209,1959.999591
74,e015ebff-10c0-44cf-b6ad-ad01053249d0,Allegheny Middle School (formerly Allegheny High *,0023P00078000000,Arch St,810 Arch St,1001.485393,North Shore,,Allegheny Middle School (formerly Allegheny High School),,46411.11371,1001.484829
75,df61d0f1-1f51-43d2-b6cc-cf0377e6bd76,1530 Federal St,0023G00307000000,Federal St,1528 Federal St,200.0671033,Fineview,,1530 Federal St,1530 Federal St,2075.91272,207.7175639
76,96f645d9-b67c-4773-bcac-475c986c7fc2,Dowers' Tavern (formerly Becks Run School),0031G00045000000,Becks Run Rd,1000 Becks Run Rd,377.7374629,Arlington Heights,,Dowers' Tavern (formerly Becks Run School),,8880.666168,377.7379826
77,95d8a4cb-0010-48cf-b75d-b02a6ca155f0,"Carnegie Library of Pittsburgh, Homewood Branch",0174J00030000000,Hamilton Ave,7101 Hamilton Ave,552.0597364,Homewood South,,"Carnegie Library of Pittsburgh, Homewood Branch",,19023.54346,552.059496
78,5d5f6d3d-a660-4ca3-9922-e901a2bcc07b,"Carnegie Library of Pittsburgh, Hazelwood Branch",0056B00240000000,Monongahela St,4748 Monongahela St,671.9835043,Hazelwood,,"Carnegie Library of Pittsburgh, Hazelwood Branch",,24145.36554,667.2522281
79,9cd98e38-d4c7-4c12-9010-f45050802a41,Children's Museum of Pittsburgh (formerly Old All*,0008C00135000000,Childrens Way,10 Childrens Way,978.4259025,Allegheny Center,,Children's Museum of Pittsburgh (formerly Old Allegheny Post Office),,47841.65717,978.4260406
80,e28f0cde-254b-48a2-9095-8955ea4ae69c,Langley High School,0042R00045000000,Sheraden Blvd,2940 Sheraden Blvd,2612.399015,Sheradan,,Langley High School,2940 Sheridan Ave,264758.6445,2612.299038
81,f3957672-d3ea-4241-8b1f-09318c96755e,Sunnyledge (formerly McClelland House),0052L00035000000,5th Ave,5124-5126 5th Ave,542.1881224,Shadyside,,Sunnyledge (formerly McClelland House),5136 5th Ave,19039.01172,542.1881151
82,9e78c471-4b15-4062-aa59-a5680370b7d6,Engine Company No. 3,0023F00406000000,Arch St,1416 Arch St,200.9260427,Central Northside,,Engine Company No. 3,,2083.358337,200.9257849
83,1d107f00-9fda-4073-b6f3-fadedf4b1ae1,Sellers-Carnahan House,0084L00215000000,Shady Ave,400 Shady Ave,722.8137457,Shadyside,,Sellers-Carnahan House,,32102.6366,722.8131898
84,46514af2-fe58-45df-bd7b-09dfcf0a605e,Dilworth Elementary School,0083H00189000000,Stanton Ave,6200 Stanton Ave,1117.504986,East Liberty,,Dilworth Elementary School,,68856.22949,1117.505451
85,65934a4b-6c5f-4b3f-83eb-27c4fb6c8492,Croation Fraternal Union,0028F00172000000,Forbes Ave,3441 Forbes Ave,409.6692702,West Oakland,,Croation Fraternal Union,,9915.043945,409.6701819
86,ad7eda2b-d5db-45a9-8f3d-4aa71a9929b8,Ferris House (formerly George Washington Gale Fer*,0023K00341000000,Arch St,1318 Arch St,187.2737556,Central Northside,,Ferris House (formerly George Washington Gale Ferris House),,1290.917297,187.2730819
87,e1a57e9b-ac9a-44b3-98db-66fb9cd13766,Cathedral of Learning,0027S00125000000,5th Ave,4200 5th Ave,3043.75683,Central Oakland,,Cathedral of Learning,Biglo Blvd - 4228 5th Ave,556003.5032,3043.757515
88,d0ac1fdc-0260-4447-82f2-ce185af398c0,Schiller Classical Academy (formerly Schiller Sch*,0024K00216000000,Peralta St,1018 Peralta St,919.6284514,East Allegheny,,Schiller Classical Academy (formerly Schiller Sch*,,43839.69879,919.6283455
89,ca2fae57-4191-4dee-8ede-4f8831457477,Old Stone Tavern,0019S00156000000,Greentree Rd,434 Greentree Rd,345.2994759,West End,,Old Stone Tavern,,7670.289795,352.8176175
